# PROXY_FOR_PC_1         PROXY_FOR_PC_2           PROXY_FOR_PC_3            PROXY_FOR_PC_4          PROXY_FOR_PC_5           PROXY_FOR_PC_6           PROXY_FOR_PC_7           PROXY_FOR_PC_8                                  
-1.000953616338205765e-07 2.712934154439329680e-08 8.179145318640738422e-08 1.156455955805576678e-07 1.105577935016008477e-07 1.458357481981747090e-07 -1.679398166265095883e-07 -5.987048332833819826e-08
-7.084051031866087691e-08 5.263336799782068718e-08 7.127007628309642366e-08 7.514270200709406396e-08 1.049918601315475649e-07 1.220718004617029410e-07 -5.930639558315841961e-08 8.565757148242777792e-08
-4.811810857429609636e-08 5.855773803241370412e-08 5.326936621552680844e-08 1.837409769261448084e-08 8.315720711559513348e-08 1.154865386794466171e-07 -2.171632761938938412e-08 1.004884355257935010e-07
-3.125034096019457810e-08 5.294579498156585051e-08 3.187710978542282777e-08 -2.785343016845893106e-08 6.118876778918592535e-08 9.510301749689784634e-08 5.971555407423514402e-09 5.719676685322113581e-08
-1.927195624188790482e-08 4.236610202004196064e-08 1.247835785811120410e-08 -4.606651660100950406e-08 4.302086555225077620e-08 6.435763334804397699e-08 1.607415158299573175e-08 2.698714683214399958e-08
-1.118124874026146373e-08 3.083460592073447611e-08 -1.618186297382135935e-09 -3.958885040434385954e-08 2.517374612856721955e-08 3.354227446716034735e-08 9.151463929814194230e-09 -7.023642950408920938e-09
-6.029977460567612321e-09 2.060776770143887277e-08 -7.950012976394987628e-09 -2.322534208789529638e-08 1.370899313401313903e-08 1.445451050909175771e-08 -6.222475764893484218e-09 -2.380367666901654108e-08
-2.968612346754230206e-09 1.290663063438933325e-08 -1.156320502448900948e-08 -9.555207753283029638e-09 6.459546114168458754e-09 3.007616974328516150e-09 -1.514322106060266262e-08 -2.680748928398233092e-08
-1.302115918223545127e-09 7.374793288974744684e-09 -1.180618099338063415e-08 -1.254548688489341276e-09 3.654389942247747482e-09 -1.814314127944558445e-09 -9.062295718342252281e-09 -1.200145540253055458e-08
-4.777121539021268915e-10 3.904194982713741562e-09 -1.051161970447025076e-08 1.981648455942896481e-09 4.739203914590494828e-09 -2.274196063710164461e-09 1.636926091466473360e-09 -1.121100630299024530e-08
-1.240960501188537283e-10 1.936246199957280089e-09 -8.326238372902282254e-09 2.900787530376752053e-09 5.608376978431930476e-09 -7.421133365343957406e-10 7.401044059590985870e-09 -1.240647218710330500e-08
5.852079026178649254e-12 8.300758349658188784e-10 -6.289700618200413751e-09 2.516682093996594725e-09 5.383458885514312196e-09 8.574832065321954667e-10 1.149305467502868618e-08 -8.854859325391156296e-09
4.363750535290268023e-11 3.182253312818403602e-10 -4.356724068472672169e-09 1.851101483518434577e-09 4.535398006282139853e-09 1.264768890703102885e-09 1.230407139236187225e-08 -1.267763674781144416e-08
5.417752223280904465e-11 7.092818210290453001e-11 -2.714453547484263512e-09 7.538077300897842781e-10 3.550716370701232106e-09 1.231279997735723470e-09 1.057268373047413600e-08 -1.011211998201743265e-08
